country_by_ip_address,region_by_ip_address,place,visitor_recognition_type,referer_boolean,product_topic
NL,,,ANONYMOUS,No referrer,4
NL,NB,NL_NB,RECOGNIZED,No referrer,10
BE,VAN,BE_VAN,ANONYMOUS,With referrer,1
BE,VLI,BE_VLI,RECOGNIZED,With referrer,8
BE,VAN,BE_VAN,LOGGEDIN,With referrer,1
BE,VAN,BE_VAN,ANONYMOUS,With referrer,4
NL,,,ANONYMOUS,No referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,7
GB,ENG,GB_ENG,ANONYMOUS,No referrer,7
NL,GE,NL_GE,RECOGNIZED,No referrer,4
NL,NB,NL_NB,RECOGNIZED,No referrer,10
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,,,ANONYMOUS,No referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,10
NL,,,ANONYMOUS,No referrer,4
NL,NH,NL_NH,ANONYMOUS,No referrer,6
US,TX,US_TX,ANONYMOUS,With referrer,4
NL,,,ANONYMOUS,No referrer,7
NL,ZH,NL_ZH,ANONYMOUS,With referrer,6
BE,VWV,BE_VWV,RECOGNIZED,With referrer,9
NL,NH,NL_NH,RECOGNIZED,With referrer,7
US,CA,US_CA,ANONYMOUS,No referrer,2
US,CA,US_CA,ANONYMOUS,No referrer,8
NL,NH,NL_NH,ANONYMOUS,No referrer,6
NL,ZH,NL_ZH,ANONYMOUS,No referrer,10
NL,,,ANONYMOUS,No referrer,4
NL,,,RECOGNIZED,With referrer,2
NL,,,ANONYMOUS,No referrer,7
US,CA,US_CA,ANONYMOUS,No referrer,7
US,CA,US_CA,ANONYMOUS,No referrer,9
UA,35,UA_35,ANONYMOUS,With referrer,7
NL,,,ANONYMOUS,No referrer,1
NL,LI,NL_LI,ANONYMOUS,No referrer,7
NL,GR,NL_GR,RECOGNIZED,With referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,8
NL,GE,NL_GE,RECOGNIZED,With referrer,4
NL,NH,NL_NH,ANONYMOUS,No referrer,10
NL,NH,NL_NH,RECOGNIZED,No referrer,8
NL,GR,NL_GR,RECOGNIZED,No referrer,2
NL,FL,NL_FL,ANONYMOUS,No referrer,9
NL,NB,NL_NB,ANONYMOUS,With referrer,6
NL,ZE,NL_ZE,RECOGNIZED,No referrer,5
NL,NB,NL_NB,RECOGNIZED,No referrer,3
US,CA,US_CA,ANONYMOUS,No referrer,3
US,CA,US_CA,ANONYMOUS,No referrer,2
US,CA,US_CA,ANONYMOUS,No referrer,3
BE,VAN,BE_VAN,ANONYMOUS,No referrer,10
NL,NB,NL_NB,ANONYMOUS,With referrer,2
NL,ZE,NL_ZE,RECOGNIZED,No referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,6
NL,,,ANONYMOUS,No referrer,3
NL,NB,NL_NB,ANONYMOUS,With referrer,1
NL,OV,NL_OV,RECOGNIZED,With referrer,6
NL,NH,NL_NH,ANONYMOUS,No referrer,8
US,WA,US_WA,ANONYMOUS,No referrer,2
BE,VAN,BE_VAN,RECOGNIZED,With referrer,3
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,,,ANONYMOUS,No referrer,4
